gw,element,name,position,team_name,value,pred_points,actual_points,minutes,in_xi,is_captain,is_vice,bench_priority
6,350,Joško Gvardiol,DEF,Man City,59.0,2.02486,9.0,90.0,1,0,0,0
6,17,Bukayo Saka,MID,Arsenal,101.0,5.1878457,3.0,90.0,1,0,1,0
6,494,James Maddison,MID,Spurs,75.0,3.691979,3.0,76.0,1,0,0,0
6,78,Antoine Semenyo,MID,Bournemouth,57.0,3.6057305,7.0,88.0,1,0,0,0
6,351,Erling Haaland,FWD,Man City,153.0,6.3381763,2.0,90.0,1,1,0,0
6,58,Ollie Watkins,FWD,Aston Villa,90.0,3.6706393,11.0,83.0,1,0,0,0
6,473,Ross Stewart,FWD,Southampton,46.0,1.6163473,1.0,45.0,1,0,0,0
6,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.058994174,0.0,0.0,0,0,0,0
6,395,Dan Burn,DEF,Newcastle,45.0,1.60238,2.0,90.0,0,0,0,1
6,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.040675484,0.0,0.0,0,0,0,2
6,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.020405889,0.0,0.0,0,0,0,3
7,15,David Raya Martin,GK,Arsenal,56.0,4.8235497,2.0,90.0,1,0,0,0
7,18,William Saliba,DEF,Arsenal,60.0,4.0738235,2.0,90.0,1,0,0,0
7,311,Trent Alexander-Arnold,DEF,Liverpool,71.0,3.4846163,8.0,90.0,1,0,0,0
7,350,Joško Gvardiol,DEF,Man City,59.0,3.4634361,1.0,90.0,1,0,0,0
7,369,Diogo Dalot Teixeira,DEF,Man Utd,51.0,3.0481355,6.0,90.0,1,0,0,0
7,395,Dan Burn,DEF,Newcastle,44.0,2.5886025,8.0,90.0,1,0,0,0
7,17,Bukayo Saka,MID,Arsenal,101.0,5.0978847,16.0,90.0,1,0,1,0
7,230,Dwight McNeil,MID,Everton,56.0,4.3499894,2.0,90.0,1,0,0,0
7,494,James Maddison,MID,Spurs,75.0,3.7681265,10.0,84.0,1,0,0,0
7,351,Erling Haaland,FWD,Man City,154.0,6.254745,2.0,90.0,1,1,0,0
7,58,Ollie Watkins,FWD,Aston Villa,91.0,3.8907971,2.0,90.0,1,0,0,0
7,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.009920627,0.0,0.0,0,0,0,0
7,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.08040075,0.0,0.0,0,0,0,2
7,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.0670706,0.0,0.0,0,0,0,3
7,473,Ross Stewart,FWD,Southampton,46.0,1.3188744,1.0,26.0,0,0,0,1
8,15,David Raya Martin,GK,Arsenal,57.0,4.1889906,1.0,90.0,1,0,0,0
8,311,Trent Alexander-Arnold,DEF,Liverpool,71.0,4.0668697,2.0,80.0,1,0,0,0
8,350,Joško Gvardiol,DEF,Man City,60.0,3.87096,10.0,90.0,1,0,0,0
8,18,William Saliba,DEF,Arsenal,60.0,3.648942,-3.0,29.0,1,0,0,0
8,506,Micky van de Ven,DEF,Spurs,46.0,3.4670475,1.0,90.0,1,0,0,0
8,369,Diogo Dalot Teixeira,DEF,Man Utd,51.0,3.37471,1.0,90.0,1,0,0,0
8,17,Bukayo Saka,MID,Arsenal,101.0,5.3200192,0.0,0.0,1,0,1,0
8,494,James Maddison,MID,Spurs,75.0,4.3297324,4.0,45.0,1,0,0,0
8,230,Dwight McNeil,MID,Everton,57.0,3.5989301,6.0,90.0,1,0,0,0
8,351,Erling Haaland,FWD,Man City,154.0,6.7505817,2.0,90.0,1,1,0,0
8,58,Ollie Watkins,FWD,Aston Villa,91.0,3.9163036,8.0,74.0,1,0,0,0
8,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.07415642,0.0,0.0,0,0,0,0
8,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.12162417,0.0,0.0,0,0,0,2
8,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.112491384,0.0,0.0,0,0,0,3
8,473,Ross Stewart,FWD,Southampton,46.0,0.9105335,0.0,0.0,0,0,0,1
9,15,David Raya Martin,GK,Arsenal,57.0,3.25299,0.0,90.0,1,0,0,0
9,350,Joško Gvardiol,DEF,Man City,61.0,4.738002,9.0,90.0,1,0,0,0
9,311,Trent Alexander-Arnold,DEF,Liverpool,71.0,3.5957808,1.0,90.0,1,0,0,0
9,355,Rico Lewis,DEF,Man City,48.0,3.568942,6.0,90.0,1,0,0,0
9,506,Micky van de Ven,DEF,Spurs,47.0,3.102119,1.0,90.0,1,0,0,0
9,369,Diogo Dalot Teixeira,DEF,Man Utd,51.0,2.9891076,1.0,90.0,1,0,0,0
9,182,Cole Palmer,MID,Chelsea,109.0,5.8485622,10.0,90.0,1,0,1,0
9,230,Dwight McNeil,MID,Everton,58.0,3.8050408,2.0,85.0,1,0,0,0
9,494,James Maddison,MID,Spurs,76.0,3.627571,2.0,61.0,1,0,0,0
9,351,Erling Haaland,FWD,Man City,154.0,7.5096817,6.0,90.0,1,1,0,0
9,58,Ollie Watkins,FWD,Aston Villa,91.0,4.3783426,2.0,81.0,1,0,0,0
9,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.014879003,0.0,0.0,0,0,0,0
9,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.028860077,0.0,0.0,0,0,0,2
9,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.018731907,0.0,0.0,0,0,0,3
9,473,Ross Stewart,FWD,Southampton,46.0,0.54871553,0.0,0.0,0,0,0,1
10,15,David Raya Martin,GK,Arsenal,56.0,3.5513828,3.0,90.0,1,0,0,0
10,311,Trent Alexander-Arnold,DEF,Liverpool,70.0,4.2868304,2.0,90.0,1,0,0,0
10,350,Joško Gvardiol,DEF,Man City,62.0,4.0022497,7.0,90.0,1,0,0,0
10,228,Michael Keane,DEF,Everton,43.0,3.3061204,1.0,90.0,1,0,0,0
10,355,Rico Lewis,DEF,Man City,48.0,3.263909,1.0,17.0,1,0,0,0
10,369,Diogo Dalot Teixeira,DEF,Man Utd,51.0,2.9169776,1.0,90.0,1,0,0,0
10,182,Cole Palmer,MID,Chelsea,110.0,5.698558,3.0,90.0,1,1,0,0
10,494,James Maddison,MID,Spurs,76.0,3.42462,6.0,8.0,1,0,0,0
10,230,Dwight McNeil,MID,Everton,58.0,2.9460988,2.0,90.0,1,0,0,0
10,351,Erling Haaland,FWD,Man City,154.0,5.4717183,2.0,90.0,1,0,1,0
10,58,Ollie Watkins,FWD,Aston Villa,91.0,3.07941,2.0,90.0,1,0,0,0
10,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.06173554,0.0,0.0,0,0,0,0
10,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.13006645,0.0,0.0,0,0,0,1
10,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.10629267,0.0,0.0,0,0,0,3
10,473,Ross Stewart,FWD,Southampton,46.0,0.11431818,0.0,0.0,0,0,0,2
11,15,David Raya Martin,GK,Arsenal,56.0,3.3488414,2.0,90.0,1,0,0,0
11,350,Joško Gvardiol,DEF,Man City,63.0,4.4078155,1.0,90.0,1,0,1,0
11,495,Pedro Porro,DEF,Spurs,55.0,4.07337,4.0,90.0,1,0,0,0
11,311,Trent Alexander-Arnold,DEF,Liverpool,70.0,3.7116253,1.0,24.0,1,0,0,0
11,369,Diogo Dalot Teixeira,DEF,Man Utd,51.0,3.3113792,1.0,56.0,1,0,0,0
11,228,Michael Keane,DEF,Everton,43.0,2.6413362,0.0,0.0,1,0,0,0
11,182,Cole Palmer,MID,Chelsea,110.0,5.1010737,2.0,90.0,1,1,0,0
11,494,James Maddison,MID,Spurs,76.0,3.6581342,1.0,6.0,1,0,0,0
11,230,Dwight McNeil,MID,Everton,58.0,2.452612,0.0,0.0,1,0,0,0
11,351,Erling Haaland,FWD,Man City,153.0,4.3241086,5.0,90.0,1,0,0,0
11,58,Ollie Watkins,FWD,Aston Villa,90.0,2.7618651,2.0,64.0,1,0,0,0
11,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.0810269,0.0,0.0,0,0,0,0
11,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.064225726,0.0,0.0,0,0,0,1
11,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.057423487,0.0,0.0,0,0,0,2
11,473,Ross Stewart,FWD,Southampton,45.0,0.054407865,0.0,0.0,0,0,0,3
12,15,David Raya Martin,GK,Arsenal,55.0,3.6871347,6.0,90.0,1,0,0,0
12,350,Joško Gvardiol,DEF,Man City,63.0,4.255381,0.0,90.0,1,0,0,0
12,339,Virgil van Dijk,DEF,Liverpool,63.0,4.06239,1.0,90.0,1,0,0,0
12,369,Diogo Dalot Teixeira,DEF,Man Utd,52.0,3.03365,2.0,90.0,1,0,0,0
12,495,Pedro Porro,DEF,Spurs,55.0,2.506474,14.0,90.0,1,0,0,0
12,228,Michael Keane,DEF,Everton,43.0,2.042132,0.0,0.0,1,0,0,0
12,182,Cole Palmer,MID,Chelsea,109.0,6.109196,2.0,90.0,1,1,0,0
12,494,James Maddison,MID,Spurs,75.0,2.06708,16.0,88.0,1,0,0,0
12,230,Dwight McNeil,MID,Everton,57.0,1.0975394,3.0,90.0,1,0,0,0
12,351,Erling Haaland,FWD,Man City,152.0,4.5793886,2.0,90.0,1,0,1,0
12,58,Ollie Watkins,FWD,Aston Villa,90.0,4.0412455,7.0,90.0,1,0,0,0
12,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.065255195,0.0,0.0,0,0,0,0
12,150,Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.03399995,0.0,0.0,0,0,0,1
12,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.02486898,0.0,0.0,0,0,0,3
12,473,Ross Stewart,FWD,Southampton,45.0,0.031790175,0.0,0.0,0,0,0,2
13,15,David Raya Martin,GK,Arsenal,55.0,4.0468383,2.0,90.0,1,0,0,0
13,339,Virgil van Dijk,DEF,Liverpool,63.0,4.211525,6.0,90.0,1,0,0,0
13,495,Pedro Porro,DEF,Spurs,55.0,4.1903386,2.0,90.0,1,0,0,0
13,369,Diogo Dalot Teixeira,DEF,Man Utd,52.0,2.8692675,6.0,90.0,1,0,0,0
13,350,Joško Gvardiol,DEF,Man City,63.0,2.6952672,0.0,0.0,1,0,0,0
13,328,Mohamed Salah,MID,Liverpool,131.0,6.293424,13.0,83.0,1,1,0,0
13,182,Cole Palmer,MID,Chelsea,109.0,5.691094,14.0,85.0,1,0,1,0
13,494,James Maddison,MID,Spurs,76.0,3.6747453,2.0,84.0,1,0,0,0
13,230,Dwight McNeil,MID,Everton,56.0,1.6285458,2.0,90.0,1,0,0,0
13,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,70.0,4.720176,2.0,90.0,1,0,0,0
13,58,Ollie Watkins,FWD,Aston Villa,90.0,3.3361511,2.0,83.0,1,0,0,0
13,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.074360594,0.0,0.0,0,0,0,0
13,228,Michael Keane,DEF,Everton,43.0,0.99058545,0.0,0.0,0,0,0,1
13,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.019870207,0.0,0.0,0,0,0,3
13,473,Ross Stewart,FWD,Southampton,45.0,0.0328985,0.0,0.0,0,0,0,2
14,15,David Raya Martin,GK,Arsenal,55.0,3.7033973,6.0,90.0,1,0,0,0
14,339,Virgil van Dijk,DEF,Liverpool,64.0,3.9715447,1.0,90.0,1,0,0,0
14,495,Pedro Porro,DEF,Spurs,56.0,3.7886992,1.0,28.0,1,0,0,0
14,369,Diogo Dalot Teixeira,DEF,Man Utd,52.0,2.4800303,1.0,90.0,1,0,0,0
14,350,Joško Gvardiol,DEF,Man City,62.0,2.4526114,6.0,90.0,1,0,0,0
14,328,Mohamed Salah,MID,Liverpool,132.0,6.281387,18.0,90.0,1,1,0,0
14,182,Cole Palmer,MID,Chelsea,110.0,6.045923,7.0,78.0,1,0,1,0
14,247,Alex Iwobi,MID,Fulham,56.0,3.5409567,15.0,90.0,1,0,0,0
14,494,James Maddison,MID,Spurs,76.0,3.0177531,2.0,79.0,1,0,0,0
14,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,71.0,3.9302943,2.0,90.0,1,0,0,0
14,58,Ollie Watkins,FWD,Aston Villa,90.0,3.7351031,12.0,64.0,1,0,0,0
14,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.07095908,0.0,0.0,0,0,0,0
14,228,Michael Keane,DEF,Everton,42.0,0.11146763,0.0,0.0,0,0,0,2
14,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.1449207,0.0,0.0,0,0,0,1
14,473,Ross Stewart,FWD,Southampton,44.0,0.07691388,0.0,0.0,0,0,0,3
15,15,David Raya Martin,GK,Arsenal,55.0,3.958362,2.0,90.0,1,0,0,0
15,18,William Saliba,DEF,Arsenal,61.0,3.8779244,9.0,90.0,1,0,0,0
15,594,Noussair Mazraoui,DEF,Man Utd,47.0,3.3988328,1.0,24.0,1,0,0,0
15,369,Diogo Dalot Teixeira,DEF,Man Utd,52.0,3.352148,1.0,90.0,1,0,0,0
15,350,Joško Gvardiol,DEF,Man City,62.0,3.2772837,1.0,90.0,1,0,0,0
15,17,Bukayo Saka,MID,Arsenal,105.0,5.6414056,2.0,90.0,1,1,0,0
15,182,Cole Palmer,MID,Chelsea,110.0,5.2105336,18.0,90.0,1,0,1,0
15,247,Alex Iwobi,MID,Fulham,56.0,3.4428768,2.0,90.0,1,0,0,0
15,494,James Maddison,MID,Spurs,76.0,2.9158955,4.0,11.0,1,0,0,0
15,58,Ollie Watkins,FWD,Aston Villa,90.0,4.369949,1.0,32.0,1,0,0,0
15,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,71.0,3.7011821,1.0,90.0,1,0,0,0
15,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.04131154,0.0,0.0,0,0,0,0
15,495,Pedro Porro,DEF,Spurs,56.0,2.9040442,3.0,90.0,0,0,0,1
15,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.13132697,0.0,0.0,0,0,0,2
15,473,Ross Stewart,FWD,Southampton,44.0,0.062691465,0.0,0.0,0,0,0,3
16,15,David Raya Martin,GK,Arsenal,56.0,4.357494,6.0,90.0,1,0,0,0
16,18,William Saliba,DEF,Arsenal,62.0,3.8969998,6.0,90.0,1,0,0,0
16,495,Pedro Porro,DEF,Spurs,56.0,3.7264547,6.0,62.0,1,0,0,0
16,369,Diogo Dalot Teixeira,DEF,Man Utd,52.0,2.4863622,2.0,90.0,1,0,0,0
16,350,Joško Gvardiol,DEF,Man City,61.0,2.148289,7.0,90.0,1,0,0,0
16,182,Cole Palmer,MID,Chelsea,111.0,6.1854887,3.0,90.0,1,1,0,0
16,17,Bukayo Saka,MID,Arsenal,106.0,5.385901,3.0,90.0,1,0,1,0
16,494,James Maddison,MID,Spurs,76.0,3.328114,15.0,76.0,1,0,0,0
16,247,Alex Iwobi,MID,Fulham,57.0,3.0208373,2.0,90.0,1,0,0,0
16,401,Alexander Isak,FWD,Newcastle,86.0,4.728392,11.0,72.0,1,0,0,0
16,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,71.0,3.885046,9.0,90.0,1,0,0,0
16,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.0065945685,0.0,0.0,0,0,0,0
16,594,Noussair Mazraoui,DEF,Man Utd,47.0,1.9335105,2.0,77.0,0,0,0,1
16,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.04348272,0.0,0.0,0,0,0,3
16,473,Ross Stewart,FWD,Southampton,44.0,0.17009777,0.0,0.0,0,0,0,2
17,15,David Raya Martin,GK,Arsenal,56.0,3.820302,3.0,90.0,1,0,0,0
17,255,Antonee Robinson,DEF,Fulham,48.0,4.3584223,6.0,90.0,1,0,0,0
17,18,William Saliba,DEF,Arsenal,63.0,3.3984382,2.0,90.0,1,0,0,0
17,350,Joško Gvardiol,DEF,Man City,61.0,3.3177547,0.0,90.0,1,0,0,0
17,369,Diogo Dalot Teixeira,DEF,Man Utd,52.0,3.038639,1.0,90.0,1,0,0,0
17,182,Cole Palmer,MID,Chelsea,112.0,5.952357,3.0,90.0,1,1,0,0
17,17,Bukayo Saka,MID,Arsenal,106.0,4.478493,1.0,23.0,1,0,0,0
17,247,Alex Iwobi,MID,Fulham,58.0,3.727322,3.0,90.0,1,0,0,0
17,494,James Maddison,MID,Spurs,76.0,3.4289565,6.0,57.0,1,0,0,0
17,401,Alexander Isak,FWD,Newcastle,88.0,4.757505,17.0,72.0,1,0,1,0
17,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,71.0,3.5658772,9.0,90.0,1,0,0,0
17,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.032812774,0.0,0.0,0,0,0,0
17,594,Noussair Mazraoui,DEF,Man Utd,46.0,2.443985,1.0,90.0,0,0,0,1
17,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.1222408,0.0,0.0,0,0,0,2
17,473,Ross Stewart,FWD,Southampton,44.0,0.07571261,0.0,0.0,0,0,0,3
18,15,David Raya Martin,GK,Arsenal,56.0,4.6225414,6.0,90.0,1,0,0,0
18,18,William Saliba,DEF,Arsenal,63.0,4.0212183,7.0,90.0,1,0,0,0
18,255,Antonee Robinson,DEF,Fulham,49.0,2.9832642,1.0,90.0,1,0,0,0
18,350,Joško Gvardiol,DEF,Man City,60.0,2.715817,2.0,90.0,1,0,0,0
18,369,Diogo Dalot Teixeira,DEF,Man Utd,51.0,2.4838398,1.0,90.0,1,0,0,0
18,328,Mohamed Salah,MID,Liverpool,135.0,7.3346734,9.0,90.0,1,1,0,0
18,182,Cole Palmer,MID,Chelsea,113.0,6.6048856,10.0,90.0,1,0,1,0
18,494,James Maddison,MID,Spurs,77.0,3.1410222,0.0,26.0,1,0,0,0
18,247,Alex Iwobi,MID,Fulham,58.0,2.412334,2.0,90.0,1,0,0,0
18,401,Alexander Isak,FWD,Newcastle,90.0,5.3756437,8.0,90.0,1,0,0,0
18,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,71.0,3.7032554,12.0,90.0,1,0,0,0
18,55,Viljami Sinisalo,GK,Aston Villa,40.0,0.007686183,0.0,0.0,0,0,0,0
18,594,Noussair Mazraoui,DEF,Man Utd,46.0,2.1493506,1.0,90.0,0,0,0,1
18,151,Ângelo Gabriel Borges Damaceno,MID,Chelsea,45.0,0.07360739,0.0,0.0,0,0,0,3
18,473,Ross Stewart,FWD,Southampton,44.0,0.20149185,0.0,0.0,0,0,0,2
19,15,David Raya Martin,GK,Arsenal,56.0,3.9416268,2.0,90.0,1,0,0,0
19,399,Lewis Hall,DEF,Newcastle,47.0,4.0203137,12.0,90.0,1,0,0,0
19,18,William Saliba,DEF,Arsenal,63.0,3.7650418,2.0,90.0,1,0,0,0
19,255,Antonee Robinson,DEF,Fulham,49.0,3.317369,4.0,90.0,1,0,0,0
19,350,Joško Gvardiol,DEF,Man City,60.0,2.78624,6.0,90.0,1,0,0,0
19,182,Cole Palmer,MID,Chelsea,114.0,6.477381,2.0,90.0,1,1,0,0
19,328,Mohamed Salah,MID,Liverpool,136.0,6.453457,16.0,90.0,1,0,1,0
19,494,James Maddison,MID,Spurs,77.0,3.4104502,1.0,26.0,1,0,0,0
19,247,Alex Iwobi,MID,Fulham,58.0,3.0123973,2.0,90.0,1,0,0,0
19,401,Alexander Isak,FWD,Newcastle,91.0,5.190209,7.0,90.0,1,0,0,0
19,541,Matheus Santos Carneiro Da Cunha,FWD,Wolves,71.0,4.2409043,1.0,45.0,1,0,0,0
19,55,Viljami Sinisalo,GK,Aston Villa,40.0,-0.023666501,0.0,0.0,0,0,0,0
19,594,Noussair Mazraoui,DEF,Man Utd,45.0,1.8050369,1.0,90.0,0,0,0,1
